Número Pedido;Data Pedido;Data Desejo Entrega;Nome Produto;Valor Venda;Tipo Pagamento;Nome Cliente;Cidade;Estado;Urgente
1;01/02/2009 06:17:15;01/02/2009 06:17;Kunai;1200;Mastercard;carolina;Basildon;England;true
2;01/02/2009 04:53;01/02/2009 04:53;Kunai;1200;Visa;Betina;Parkville                   ;MO;true
3;01/02/2009 13:08;01/02/2009 13:08;Shuriken;1200;Mastercard;Federica e Andrea;Astoria                     ;OR;true
4;01/03/2009 14:44;01/03/2009 14:44;Kunai;1200;Visa;Gouya;Echuca;Victoria;true
5;01/04/2009 20:11;01/04/2009 20:11;Shuriken;1200;Mastercard;Fleur;Peoria                      ;IL;true
6;01/02/2009 20:09;01/02/2009 20:09;Shuriken;1200;Mastercard;adam;Martin                      ;TN;true
7;01/04/2009 13:17;01/04/2009 13:17;Faca de Gaudério;1200;Mastercard;Nunes;São Leopoldo;Rio Grande do Sul;true
8;01/04/2009 14:11;01/04/2009 14:11;Katana;1200;Visa;Aidan;Chatou;Ile-de-France;true
9;01/05/2009 02:42;01/05/2009 02:42;Kunai;1200;Diners;Stacy;New York                    ;NY;true
10;01/02/2009 09:16;01/02/2009 09:16;Kunai;1200;Mastercard;Sean ;Shavano Park                ;TX;true
11;01/02/2009 14:18;01/02/2009 14:18;Shuriken;1200;Visa;Richard;Riverside                   ;NJ;true
12;01/04/2009 01:05;01/04/2009 01:05;Kunai;1200;Diners;Leanne;Julianstown;Meath;true
13;01/05/2009 11:37;01/05/2009 11:37;Shuriken;1200;Visa;Janet;Ottawa;Ontario;true
14;01/02/2009 07:35;01/02/2009 07:35;Shuriken;1200;Diners;Hani;Salt Lake City              ;UT;true
15;01/06/2009 12:56;01/06/2009 12:56;Katana;1200;Visa;Jeremy;Manchester;England;true
16;01/01/2009 11:05;01/01/2009 11:05;Shuriken;1200;Diners;Janis;Ballynora;Cork;true
17;01/05/2009 04:10;01/05/2009 04:10;Shuriken;1200;Mastercard;Nicola;Roodepoort;Gauteng;true
18;01/06/2009 07:18;01/06/2009 07:18;Shuriken;1200;Visa;asuman;Chula Vista                 ;CA;true
19;01/02/2009 01:11;01/02/2009 01:11;Shuriken;1200;Mastercard;Lena;Kuopio;Ita-Suomen Laani;true
20;01/01/2009 02:24;01/01/2009 02:24;Shuriken;1200;Visa;Lisa;Sugar Land                  ;TX;true
21;01/07/2009 08:08;01/07/2009 08:08;Shuriken;1200;Diners;Bryan Kerrene;New York                    ;NY;true
22;01/02/2009 02:57;01/02/2009 02:57;Shuriken;1200;Visa;chris;London;England;true
23;01/01/2009 20:21;01/01/2009 20:21;Shuriken;1200;Visa;Maxine;Morton                      ;IL;true
24;01/08/2009 00:42;01/08/2009 00:42;Shuriken;1200;Visa;Family;Los Gatos                   ;CA;true
25;01/08/2009 03:56;01/08/2009 03:56;Shuriken;1200;Mastercard;Katherine;New York                    ;NY;true
26;01/08/2009 03:16;01/08/2009 03:16;Shuriken;1200;Mastercard;Linda;Miami                       ;FL;true
27;01/08/2009 01:59;01/08/2009 01:59;Shuriken;1200;Mastercard;SYLVIA;Vesenaz;Geneve;true
28;01/03/2009 09:03;01/03/2009 09:03;Shuriken;1200;Diners;Sheila;Brooklyn                    ;NY;true
29;01/05/2009 13:17;01/05/2009 13:17;Shuriken;1200;Mastercard;Stephanie;Badhoevedorp;Noord-Holland;true
30;01/06/2009 07:46;01/06/2009 07:46;Shuriken;1200;Amex;Kelly;Reston                      ;VA;true
31;01/08/2009 16:24;01/08/2009 16:24;Shuriken;1200;Visa;jennifer;Phoenix                     ;AZ;true
32;01/09/2009 06:39;01/09/2009 06:39;Shuriken;1200;Mastercard;Anneli;Houston                     ;TX;true
33;01/07/2009 07:44;01/07/2009 07:44;Shuriken;1200;Mastercard;Marie;Ball Ground                 ;GA;true
34;01/03/2009 13:24;01/03/2009 13:24;Shuriken;1200;Visa;Mehmet Fatih;Helsingor;Frederiksborg;true
35;01/07/2009 20:15;01/07/2009 20:15;Shuriken;1200;Amex;Nicole;Houston                     ;TX;true
36;01/09/2009 15:58;01/09/2009 15:58;Shuriken;1200;Mastercard;Sari;Newbury;England;true
37;01/03/2009 13:11;01/03/2009 13:11;Shuriken;1200;Mastercard;simone;Kobenhavn;Kobenhavn;true
38;01/10/2009 12:57;01/10/2009 12:57;Shuriken;1200;Amex;Vanessa;Sandy Springs               ;GA;true
39;01/10/2009 14:43;01/10/2009 14:43;Shuriken;1200;Diners;Anupam;Kinsaley;Dublin;true
40;01/10/2009 12:05;01/10/2009 12:05;Shuriken;1200;Visa;Karina;Fort Lauderdale             ;FL;true
